Order ID,Ship Date,Units Sold,Unit Price,Total Cost
957081544,1/11/2014,552,255.28,87999.84
301644504,7/26/2010,2167,152.58,211152.48
478051030,9/29/2011,4778,47.45,151892.62
892599952,6/15/2010,9016,205.7,1055863.76
571902596,7/27/2015,7542,152.58,734892.48
412882792,11/22/2010,48,81.73,2720.16
932776868,5/10/2011,8258,109.28,295966.72
919133651,11/4/2013,927,109.28,33223.68
579814469,10/5/2016,8841,109.28,316861.44
192993152,5/7/2015,9817,255.28,1565026.14
557156026,10/15/2013,3704,651.21,1944451.84
741101920,5/17/2013,7382,437.2,1943902.06
333942162,8/25/2016,9762,205.7,1143227.82
795100581,7/16/2015,6786,437.2,1786957.38
504313504,12/3/2010,6428,255.28,1024751.76
611629760,1/31/2016,3693,421.89,1346800.17
987410676,9/6/2014,5616,205.7,657689.76
672330081,11/29/2010,6266,651.21,3289399.36
127374303,3/20/2017,1742,47.45,55378.18
783842170,6/1/2013,5172,255.28,824520.24
993345010,3/3/2010,1718,47.45,54615.22
977806651,10/14/2015,3572,255.28,569448.24
579463422,11/1/2016,4958,9.33,34309.36
610864150,4/7/2012,7132,47.45,226726.28
604870164,6/5/2017,3378,152.58,329152.32
164655292,5/1/2014,4015,205.7,470196.65
313705861,7/10/2016,1390,9.33,9618.8
345820701,2/1/2012,4885,651.21,2564429.6
975111138,1/21/2013,5910,255.28,942172.2
286001002,4/15/2013,2907,152.58,283258.08
483226621,8/6/2015,6350,437.2,1672145.5
241836822,1/17/2012,3744,109.28,134184.96
557192933,7/5/2011,4626,109.28,165795.84
694968783,4/2/2012,5562,421.89,2028405.78
441150701,5/12/2013,5150,9.33,35638.0
552037513,8/5/2011,9022,205.7,1056566.42
504240548,3/27/2012,4838,437.2,1273990.54
744683635,4/1/2010,7291,154.06,662970.63
440603101,9/15/2016,3104,81.73,175903.68
629547774,5/3/2017,6031,109.28,216151.04
169378983,4/10/2014,1860,421.89,678323.4
688270556,3/4/2014,3407,81.73,193074.69
734708821,3/24/2017,5522,421.89,2013818.18
727492606,9/22/2013,84,152.58,8184.96
705733239,1/25/2017,1003,255.28,159898.26
778854548,10/3/2015,9224,651.21,4842231.04
676592862,7/9/2014,7718,437.2,2032380.94
198997008,10/16/2014,6492,668.27,3262489.68
566428315,3/23/2012,7581,47.45,240999.99
369560611,6/13/2014,52,255.28,8289.84
519380223,1/17/2015,5005,152.58,487687.2
197185981,9/11/2012,568,651.21,298177.28
904589211,5/4/2014,6905,651.21,3624848.8
613513743,12/31/2016,1205,668.27,605560.7
516195905,10/29/2010,2694,109.28,96552.96
975184524,1/17/2014,7626,154.06,693432.18
173340928,1/3/2015,4287,109.28,153646.08
863838946,1/5/2015,7995,81.73,453076.65
920164906,3/6/2016,6099,205.7,714253.89
986117637,7/30/2010,2977,421.89,1085682.13
425808465,7/18/2013,5042,205.7,590468.62
473661220,7/3/2015,5736,47.45,182347.44
184412229,4/7/2015,531,255.28,84652.02
483110320,9/30/2016,1934,154.06,175858.62
115116822,11/1/2016,4481,668.27,2251881.74
596105563,3/20/2010,9738,255.28,1552431.96
362062871,12/23/2014,1304,152.58,127061.76
619287574,8/2/2016,9810,47.45,311859.9
394391000,6/23/2016,7916,109.28,283709.44
584296977,4/28/2013,5315,47.45,168963.85
806241834,8/15/2014,3730,109.28,133683.2
747774398,4/3/2017,1916,421.89,698746.04
616755998,12/3/2011,660,421.89,240695.4
691360461,11/7/2016,7779,255.28,1240128.18
870074117,5/16/2013,3121,47.45,99216.59
221695792,3/20/2010,3566,651.21,1872007.36
135336816,8/17/2017,8026,9.33,55539.92
270421016,5/23/2012,2443,651.21,1282477.28
806684720,7/18/2010,4790,668.27,2407166.6
194176757,8/20/2017,72,668.27,36182.88
103258454,8/15/2017,5326,255.28,849070.92
