Order ID,Region,Country
957081544,Central America and the Caribbean,Antigua and Barbuda 
301644504,Central America and the Caribbean,Panama
892599952,Asia,North Korea
571902596,Asia,Sri Lanka
412882792,Middle East and North Africa,Morocco
932776868,Australia and Oceania,Federated States of Micronesia
919133651,Europe,Bosnia and Herzegovina
579814469,Middle East and North Africa,Afghanistan
192993152,Sub-Saharan Africa,Ethiopia
557156026,Middle East and North Africa,Turkey
741101920,Middle East and North Africa,Oman
333942162,Asia,Malaysia
795100581,Central America and the Caribbean,Saint Lucia
504313504,Central America and the Caribbean,Saint Vincent and the Grenadines
611629760,Middle East and North Africa,Lebanon
987410676,Europe,Austria
672330081,Europe,Bulgaria
783842170,Central America and the Caribbean,Trinidad and Tobago
977806651,Middle East and North Africa,Algeria
579463422,Europe,Estonia
604870164,Middle East and North Africa,Saudi Arabia
164655292,Central America and the Caribbean,Cuba
313705861,Europe,Montenegro
345820701,Central America and the Caribbean,Guatemala
975111138,Sub-Saharan Africa,Guinea
286001002,Australia and Oceania,Vanuatu
483226621,Middle East and North Africa,United Arab Emirates
241836822,Australia and Oceania,Australia
557192933,Middle East and North Africa,Oman
694968783,Sub-Saharan Africa,Malawi
441150701,Middle East and North Africa,Lebanon
552037513,Europe,Czech Republic
504240548,Australia and Oceania,Vanuatu
744683635,Europe,Luxembourg
440603101,Sub-Saharan Africa,Benin
629547774,Middle East and North Africa,Somalia
169378983,Europe,Switzerland
688270556,Middle East and North Africa,Saudi Arabia
734708821,Asia,Laos
727492606,Asia,Kyrgyzstan
705733239,Middle East and North Africa,Algeria
778854548,Sub-Saharan Africa,Angola
676592862,Sub-Saharan Africa,Mauritania
198997008,Middle East and North Africa,Lebanon
369560611,Asia,Taiwan
519380223,Europe,Belgium
197185981,Asia,Laos
904589211,Europe,San Marino
613513743,Australia and Oceania,Tuvalu
516195905,Australia and Oceania,Kiribati
975184524,Asia,Kyrgyzstan
173340928,Australia and Oceania,Samoa 
863838946,Sub-Saharan Africa,Central African Republic
920164906,Asia,Uzbekistan
986117637,Central America and the Caribbean,Dominica
425808465,Middle East and North Africa,Qatar
184412229,Europe,Bosnia and Herzegovina
483110320,Asia,South Korea
115116822,Central America and the Caribbean,Trinidad and Tobago
596105563,Middle East and North Africa,Somalia
362062871,Sub-Saharan Africa,Nigeria
394391000,Central America and the Caribbean,Saint Vincent and the Grenadines
806241834,Middle East and North Africa,Algeria
747774398,Europe,Netherlands
616755998,Central America and the Caribbean,Panama
691360461,Australia and Oceania,Solomon Islands
221695792,Middle East and North Africa,Iran
135336816,Australia and Oceania,Vanuatu
270421016,Australia and Oceania,Federated States of Micronesia
806684720,Sub-Saharan Africa,Equatorial Guinea
194176757,Europe,Russia
103258454,Middle East and North Africa,Azerbaijan
474603641,Middle East and North Africa,Iraq
869198644,Sub-Saharan Africa,Mauritius 
918342292,Sub-Saharan Africa,Eritrea
773645913,Europe,Ukraine
657033336,Asia,Myanmar
410740888,Europe,Bosnia and Herzegovina
847317397,Europe,Latvia
584436452,Central America and the Caribbean,Grenada
234227073,Sub-Saharan Africa,Namibia
734318292,Europe,Portugal
169133937,Central America and the Caribbean,Barbados
743410336,Asia,Sri Lanka
232196319,Europe,Poland
905054843,Australia and Oceania,Kiribati
240787541,Middle East and North Africa,Somalia
194350135,Sub-Saharan Africa,Burundi
242353951,Asia,Malaysia
831722819,Central America and the Caribbean,Haiti
229693067,Europe,Liechtenstein
373813521,Sub-Saharan Africa,Zambia
202262866,Australia and Oceania,Vanuatu
963251912,Australia and Oceania,Tuvalu
123711478,Central America and the Caribbean,Antigua and Barbuda 
422752892,Central America and the Caribbean,Haiti
169799983,Europe,Slovenia
894589078,Europe,Malta
597169005,Asia,Bhutan
497901093,Sub-Saharan Africa,Eritrea
987459170,Europe,Ukraine
276829564,Asia,Singapore
247311103,Sub-Saharan Africa,Cameroon
600515115,Europe,Cyprus
208365428,Europe,Poland
263098371,Europe,Monaco
227262771,Australia and Oceania,Vanuatu
983719956,Sub-Saharan Africa,Gabon
785643756,Sub-Saharan Africa,Djibouti
206520497,Sub-Saharan Africa,Namibia
790149009,Europe,Estonia
100640618,Europe,Norway
272419154,Sub-Saharan Africa,Ethiopia
360220944,Sub-Saharan Africa,Burundi
904402101,Sub-Saharan Africa,Mauritius 
721816623,Sub-Saharan Africa,Uganda
977324712,Europe,Luxembourg
586961162,Central America and the Caribbean,Haiti
510956799,Europe,Luxembourg
407665145,Central America and the Caribbean,Saint Lucia
484947526,Middle East and North Africa,Iraq
120977771,Europe,Armenia
114242208,Asia,Singapore
433539664,Middle East and North Africa,Jordan
667981469,Australia and Oceania,Tonga
476991450,Europe,Bulgaria
940305936,Sub-Saharan Africa,Sudan
507973754,Sub-Saharan Africa,Mali
850356233,Asia,Myanmar
108127200,Asia,Sri Lanka
542272984,Middle East and North Africa,Azerbaijan
884092414,Sub-Saharan Africa,Tanzania
385196816,Sub-Saharan Africa,Swaziland
167510020,Asia,Myanmar
915020644,Sub-Saharan Africa,Seychelles 
425628221,Sub-Saharan Africa,Madagascar
686417043,Sub-Saharan Africa,Mauritius 
853883445,Asia,Taiwan
324775445,Middle East and North Africa,Morocco
