"Año";"Periodo";"Deuda pública"
"2003";"Noviembre";"381.202,62"
"2003";"Diciembre";"382.775,04"
"2004";"Enero";"386.087,49"
"2004";"Febrero";"385.066,6"
"2004";"Marzo";"388.781,47"
"2004";"Abril";"389.000,05"
"2004";"Mayo";"389.477,07"
"2004";"Junio";"390.339,83"
"2004";"Julio";"384.468,81"
"2004";"Agosto";"380.286,43"
"2004";"Septiembre";"386.681,67"
"2004";"Octubre";"378.019,96"
"2004";"Noviembre";"387.555,92"
"2004";"Diciembre";"389.887,94"
"2005";"Enero";"396.025,6"
"2005";"Febrero";"391.777,83"
"2005";"Marzo";"394.722,06"
"2005";"Abril";"388.022,38"
"2005";"Mayo";"382.681,82"
"2005";"Junio";"393.036,83"
"2005";"Julio";"376.933,06"
"2005";"Agosto";"373.285,92"
"2005";"Septiembre";"390.458,63"
"2005";"Octubre";"377.688,95"
"2005";"Noviembre";"382.665,16"
"2005";"Diciembre";"393.479,09"
"2006";"Enero";"377.945,47"
"2006";"Febrero";"377.948,25"
"2006";"Marzo";"393.984,39"
"2006";"Abril";"379.218,91"
"2006";"Mayo";"379.726,43"
"2006";"Junio";"390.269,63"
"2006";"Julio";"383.933,86"
"2006";"Agosto";"379.765,66"
"2006";"Septiembre";"394.583,45"
"2006";"Octubre";"377.463,21"
"2006";"Noviembre";"381.052,32"
"2006";"Diciembre";"392.132,17"
"2007";"Enero";"386.616,27"
"2007";"Febrero";"387.285,28"
"2007";"Marzo";"398.733,54"
"2007";"Abril";"386.028,66"
"2007";"Mayo";"387.150,34"
"2007";"Junio";"400.011,76"
"2007";"Julio";"380.482,99"
"2007";"Agosto";"375.911,06"
"2007";"Septiembre";"391.299,89"
"2007";"Octubre";"371.055,54"
"2007";"Noviembre";"374.174,69"
"2007";"Diciembre";"384.661,96"
"2008";"Enero";"365.203,61"
"2008";"Febrero";"369.885,8"
"2008";"Marzo";"380.269,89"
"2008";"Abril";"368.381,24"
"2008";"Mayo";"373.711,81"
"2008";"Junio";"390.638,16"
"2008";"Julio";"377.534,35"
"2008";"Agosto";"378.068,37"
"2008";"Septiembre";"403.721,89"
"2008";"Octubre";"387.382,23"
"2008";"Noviembre";"406.604,07"
"2008";"Diciembre";"440.620,97"
"2009";"Enero";"440.498,29"
"2009";"Febrero";"457.305,24"
"2009";"Marzo";"473.710,18"
"2009";"Abril";"486.588,49"
"2009";"Mayo";"492.602,11"
"2009";"Junio";"511.173,39"
"2009";"Julio";"510.802,67"
"2009";"Agosto";"513.920,96"
"2009";"Septiembre";"533.678,18"
"2009";"Octubre";"544.493,3"
"2009";"Noviembre";"560.265,17"
"2009";"Diciembre";"569.535,36"
"2010";"Enero";"561.748,89"
"2010";"Febrero";"569.094,79"
"2010";"Marzo";"586.850,73"
"2010";"Abril";"586.075,4"
"2010";"Mayo";"594.925,71"
"2010";"Junio";"609.031,98"
"2010";"Julio";"608.166,41"
"2010";"Agosto";"608.043,16"
"2010";"Septiembre";"620.541,07"
"2010";"Octubre";"634.469,48"
"2010";"Noviembre";"640.613,39"
"2010";"Diciembre";"650.078,73"
"2011";"Enero";"662.995,23"
"2011";"Febrero";"679.249,84"
"2011";"Marzo";"692.012,56"
"2011";"Abril";"685.597,61"
"2011";"Mayo";"693.324,47"
"2011";"Junio";"711.840,82"
"2011";"Julio";"705.200,69"
"2011";"Agosto";"704.927,12"
"2011";"Septiembre";"714.895,9"
"2011";"Octubre";"712.904,7"
"2011";"Noviembre";"724.503,64"
"2011";"Diciembre";"744.323,11"
"2012";"Enero";"759.030,05"
