,Int'l Plan,VMail Plan,VMail Message,CustomerId,Eve Charge,Night Charge,Intl Calls,Intl Charge,CustServ Calls,Churn?
0,no,yes,25,0,16.78,11.01,3,2.7,1,False.
1,no,yes,26,1,16.62,11.45,3,3.7,1,False.
2,no,no,0,2,10.3,7.32,5,3.29,0,False.
3,yes,no,0,3,5.26,8.86,7,1.78,2,False.
4,yes,no,0,4,12.61,8.41,3,2.73,3,False.
5,yes,no,0,5,18.75,9.18,6,1.7,0,False.
6,no,yes,24,6,29.62,9.57,7,2.03,3,False.
7,yes,no,0,7,8.76,9.53,6,1.92,0,False.
8,no,no,0,8,29.89,9.71,4,2.35,1,False.
9,yes,yes,37,9,18.87,14.69,5,3.02,0,False.
10,no,no,0,10,19.42,9.4,6,3.43,4,True.
11,no,no,0,11,13.89,8.82,5,2.46,0,False.
12,no,no,0,12,8.92,6.35,2,3.02,1,False.
13,no,no,0,13,21.05,8.65,5,3.32,3,False.
14,no,no,0,14,26.11,9.14,6,3.54,4,False.
15,no,no,0,15,27.01,7.23,9,1.46,4,True.
16,no,yes,27,16,23.88,4.02,4,3.73,1,False.
17,no,no,0,17,18.55,5.83,3,2.19,3,False.
18,no,yes,33,18,18.09,7.46,5,2.7,1,False.
19,no,no,0,19,13.56,8.68,2,3.51,1,False.
20,no,no,0,20,20.37,9.4,4,2.86,0,False.
21,no,no,0,21,14.44,9.43,6,1.54,5,True.
22,no,no,0,22,6.2,8.18,19,2.57,0,False.
23,no,no,0,23,11.67,8.53,6,2.08,2,False.
24,no,no,0,24,20.84,10.67,2,2.78,0,False.
25,no,no,0,25,23.55,11.28,5,4.19,3,False.
26,no,yes,39,26,16.24,8.22,3,2.57,0,False.
27,no,no,0,27,13.22,4.59,4,3.97,3,False.
28,no,no,0,28,21.95,8.17,6,1.7,0,False.
29,no,no,0,29,18.28,8.04,1,3.0,1,False.
30,no,no,0,30,11.62,11.27,6,3.83,2,False.
31,no,no,0,31,17.13,11.08,5,2.78,1,False.
32,no,no,0,32,2.65,13.2,10,3.4,3,False.
33,no,no,0,33,21.45,12.61,3,3.19,1,True.
34,no,yes,25,34,16.58,9.61,4,2.24,0,False.
35,no,yes,37,35,18.47,6.88,6,3.97,3,False.
36,no,yes,30,36,13.81,5.82,6,3.92,0,False.
37,no,no,0,37,19.01,10.25,5,2.7,1,False.
38,yes,yes,33,38,15.95,4.58,6,2.84,3,False.
39,no,no,0,39,23.1,8.47,9,3.0,1,False.
40,no,no,0,40,14.18,8.45,2,2.54,3,False.
41,yes,yes,41,41,17.33,5.5,15,3.94,0,True.
42,no,no,0,42,23.99,14.02,4,2.7,2,False.
43,no,no,0,43,14.05,8.03,4,2.48,3,False.
44,no,no,0,44,19.19,11.94,3,0.95,1,False.
45,no,yes,28,45,18.11,7.34,5,2.3,2,False.
46,no,no,0,46,13.82,6.06,5,3.56,3,False.
47,no,no,0,47,11.44,10.9,5,2.0,2,False.
48,no,no,0,48,19.66,6.44,3,2.38,5,True.
49,no,yes,24,49,18.46,3.18,3,2.97,1,False.
50,no,no,0,50,22.93,10.66,5,2.11,3,False.
51,no,no,0,51,17.94,11.21,3,1.84,1,False.
52,no,no,0,52,16.17,12.73,6,3.08,2,False.
53,no,no,0,53,22.74,10.28,5,2.51,2,False.
54,no,no,0,54,18.67,9.18,3,2.62,5,True.
55,no,no,0,55,21.19,12.16,3,2.75,1,False.
56,no,no,0,56,15.3,6.34,2,2.16,1,False.
57,no,yes,30,57,6.4,8.15,3,1.57,3,True.
58,no,no,0,58,20.95,5.84,3,3.27,3,False.
59,no,no,0,59,15.08,8.52,8,3.24,1,False.
60,no,no,0,60,14.44,7.5,4,3.08,1,False.
61,no,yes,34,61,15.15,7.48,3,3.13,2,False.
62,no,yes,33,62,20.92,6.21,3,3.94,2,False.
63,no,yes,28,63,15.96,11.95,3,3.4,3,False.
64,no,no,0,64,13.85,7.15,6,2.21,2,False.
65,no,yes,41,65,14.41,9.63,5,1.67,2,False.
